location|latitude|longitude
/ois/docs/narrative/2013/OIS_2013_32587A.pdf,32587A,2/8/2013,6500 Skillman Street,Deceased,Shotgun,Stoney, Rawlison W/M,Womack, Darryl W/M Russell, Daniel W/M Hurst, Glen W/M Hales,    Ryan W/M McCluskey, William W/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_44523A.pdf,44523A,2/23/2013,3000 Chihuahua Street,Injured,Handgun,Curry, James L/M,Patino, Michael L/M Fillingim, Brian W/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_56628A.pdf,56628A,3/10/2013,3303 Southern Oaks Boulevard,Deceased,Hands,Clinton, Allen B/M,Staller, Clark W/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_60045A.pdf,60045A,3/14/2013,2208 W. Northwest Highway,Deceased,Handgun,Johnson, Tyrique B/M,Timms, Christopher B/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_60944A.pdf,60944A,3/15/2013,9147 Skillman Street,Shoot and Miss,BB Gun,Jones, Christopher B/M,Tholl, Kyle W/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_84022A.pdf,84022A,4/6/2013,534 Sunset Avenue,Shoot and Miss,Vehicle,Solis, Eduardo L/M,Ramirez, Ricardo L/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_92218A.pdf,92218A,4/15/2013,12100 Bellafonte Drive,Shoot and Miss,Handgun,Allen, Tyrone B/M,Canales, Luis L/M Giron, Jason W/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_136044A.pdf,136044A,5/31/2013,3600 Bolivar Drive,Shoot and Miss,Handgun,Acosta‐Serrano, Jose L/M,Gadomski, Brendan W/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_154621A.pdf,154621A,6/19/2013,8943 Senate Street,Shoot and Miss,Handgun,Robinson, Darron B/M,Freeman, Eric W/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_161783A.pdf,161783A,6/26/2013,2310 Martin Luther King Jr. Blvd,Injured,Knife,Anderson, Edward Jr. B/M,Bowling, Joseph W/M Salazar, Samantha L/F,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_182199A.pdf,182199A,7/17/2013,1639 Conner Drive,Deceased,Unarmed,Pinedo, Gerardo Jr. L/M,Robinson, Jamal B/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_194631A.pdf,194631A,7/31/2013,4600 Haverwood Lane,Shoot and Miss,Handgun,Unknown L/M,Bailey, Berkeley W/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_229702A.pdf,229702A,9/6/2013,8000 C. F. Hawn Freeway,Injured,Handgun,Soto, Domingo L/M,Merta, Matthew W/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_236584A.pdf,236584A,9/14/2013,2825 Oak Lawn Avenue,Injured,Handgun,Branch, Bryan B/M,Barrett, Russell W/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_248051A.pdf,248051A,9/26/2013,10316 Sandra Lynn Drive,Deceased,Handgun,Hall, William W/M,Everett, Alexander L/M Summers, Daniel W/M McDaniel, Julian B/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_253345A.pdf,253345A,10/2/2013,1339 Morrell Avenue,Shoot and Miss,Handgun,Blair, David B/M,Cantu, Richard L/M Aquino, Jesse L/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_260599A.pdf,260599A,10/11/2013,222 N. Barnett Avenue,Shoot and Miss,Unarmed,Montiel, Noe L/M,Simonds, Brian B/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_263673A.pdf,263673A,10/14/2013,9452 Crimnson Court,Injured,Knife,Bennett, Bobby W/M,Spencer, Cardan B/M,True Bill,,,||
/ois/docs/narrative/2013/OIS_2013_280218A.pdf,280218A,11/1/2013,1524 E. Missouri Avenue,Deceased,Taser,Munoz, Salvador L/M,Ross, John B/M,No Bill,,,||
/ois/docs/narrative/2013/OIS_2013_311475A.pdf,311475A,12/9/2013,9524 Military Parkway,Injured,Unarmed,Walker, Kelvion B/M,Wilburn, Amy W/F,True Bill,,,||
/ois/docs/narrative/2003/OIS_2003_28021M.pdf,28021M,1/11/2003,2209 Northwest Highway,Shoot and Miss,Handgun,Alardin, Mark L/M,Fiero, Ernest L/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_40286M.pdf,40286M,1/17/2003,3800 Dilido Road,Shoot and Miss,Handgun,Sims, Bert W/M,Cozby, Melvin W/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_190589M.pdf,190589M,3/18/2003,14655 Preston Road,Deceased,Shotgun,Bannister, James W/M,Guynn, Byron W/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_291215M.pdf,291215M,4/23/2003,8400 Scyene Road,Deceased,Knife,Spence, David W/M,White, Phillip NA/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_368360M.pdf,368360M,5/9/2003,7600 S.M. Wright Freeway,Shoot and Miss,Handgun,Simpson, Dexter  B/M,Thompson, Dwayne B/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_403476M.pdf,403476M,6/1/2003,4220 Independence Drive,Deceased,Handgun,West, Samuel III B/M,Carballo, Rolando Jr. L/M Alexander, Alphonse B/M Yanez, Tami    W/F,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_411133M.pdf,411133M,6/3/2003,12700 Kleberg Road,Deceased,Shotgun,Ortiz, Luis L/M,Verbal, Stan W/M Edwards, Matthew W/M McCoy, Bronco W/M    Swafford, James W/M Fry, Brian W/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_517454M.pdf,517454M,7/9/2003,7800 Dasch Street,Injured,Handgun,Evans, Alveree B/M,Gurski, James L/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_559487M.pdf,559487M,7/24/2003,7728 S. Loop 12,Deceased,Handgun,Vernon, Tony B/M,Rangel, Mark  L/M    Armendariz, Michael  L/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_571462M.pdf,571462M,7/28/2003,8701 Greenmound Avenue,Injured,Handgun,Keeton, Jonathan B/M,Evans, Derrick B/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_628987M.pdf,628987M,8/18/2003,3500 McKinney Avenue,Injured,Vehicle,McHenry, Eric B/M,Nichols, John W/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_651226M.pdf,651226M,8/27/2003,7340 Skillman Street,Shoot and Miss,Unarmed,James, Michael B/M,Roberts, John W/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_795295M.pdf,795295M,10/18/2003,3050 W. Pentagon Parkway,Shoot and Miss,Rifle,Frierson, Byron B/M,Chambers, Stanton B/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_804107M.pdf,804107M,10/21/2003,9830 Chapel Creek Circle # 107,Other,Shotgun,Gonzales, Manuel L/M,Crawford, Lance W/M Eggleston, Scott W/M,N/A,,,||
/ois/docs/narrative/2003/OIS_2003_816576M.pdf,816576M,10/26/2003,900 E. McVey Avenue,Injured,Vehicle,Diaz, Guadalupe L/M,Carballo, Rolando L/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_828847M.pdf,828847M,10/30/2003,7500 Gayglen Drive,Injured,Knife,Paredez, Domingo Jr. L/M,Gaitonde, Nekheel A/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_826658M.pdf,826658M,10/30/2003,8307 Meadow Road,Injured,Vehicle,Paniaqua, Pedro L/M,Cantu, Oscar L/M Clark, David Jr. W/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_862009M.pdf,862009M,11/12/2003,4811 Duncanville Road,Deceased,Shotgun,Fuentes, Francisco L/M,Brady, Douglas B/M Evenden, George  W/M,No Bill,,,||
/ois/docs/narrative/2003/OIS_2003_884709M.pdf,884709M,11/20/2003,6300 C.F. Hawn Freeway,Shoot and Miss,Handgun,Unknown L/M,Martin, Roger W/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_8025N.pdf,8025N,1/3/2004,6950 Marvin D. Love Freeway,Deceased,Knife,Kemp, Diane B/F,Johnson, Gregory B/M Huel, Tammy B/F,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_125274N.pdf,125274N,2/20/2004,11819 Webb Chapel Road,Shoot and Miss,Vehicle,Unknown L/M,Perez, Fernando L/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_159747N.pdf,159747N,3/5/2004,5757 Preston View Boulevard,Shoot and Miss,Unarmed,Unknown L/M,Aguinaga, Juan L/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_167208N.pdf,167208N,3/7/2004,2242 Zang Boulevard South,Shoot and Miss,Vehicle,Fuller, Antwuanne B/M,Bridges, Christopher B/M Pennie, Demetrick B/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_226455N.pdf,226455N,3/24/2004,1750 Regal Row,Deceased Injured,BB Rifle,Aranda, Orlando L/M Mejia, Ivan L/M,Dagen, John W/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_221021N.pdf,221021N,3/27/2004,4515 Village Fair Drive,Injured,Handgun,Hicks, Lavell B/M,Lewis, Jeffrey B/M Richardson, Paulette B/F Lewis, Sharlet B/F,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_280895N.pdf,280895N,4/18/2004,5813 Bonnie View Road,Deceased,Handgun,McDuff, Bobby B/M,Jablon, James W/M Mondy, Mike B/M Owens, James W/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_281418N.pdf,281418N,Deceased,Handgun,Hibbler, Marcus B/M,,,,,,,||
/ois/docs/narrative/2004/OIS_2004_401819N.pdf,401819N,5/30/2004,900 Bayonne Street,Shoot and Miss,Hands,Woodson, Anthony B/M,Benson, Ralph W/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_469671N.pdf,469671N,6/22/2004,3900 N. Hampton Road,Shoot and Miss,Vehicle,Skinner, Dennis B/M,McCormick, James W/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_523445N.pdf,523445N,7/10/2004,4122 Rawlins Street,Injured,Handgun,Sinning, Kevin W/M,Kattner, David W/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_570858N.pdf,570858N,7/26/2004,325 Cadiz Street,Shoot and Miss,Vehicle,Williams, Michael B/M,Hawkins, Joe W/M,N/A,,,||
/ois/docs/narrative/2004/OIS_2004_702591N.pdf,702591N,9/11/2004,5146 Vandelia Street #101,Injured,Handgun,Torres, Julio L/M,Loeb, Jeffrey W/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_772767N.pdf,772767N,10/6/2004,2287 W. Northwest Highway,Deceased,Handgun,Welch, Eddie W/M,Price, Lawrence B/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_989995N.pdf,989995N,12/24/2004,4100 Garrison Street,Injured,Hands,Williams, Corey B/M,Cordero, Daniel L/M,No Bill,,,||
/ois/docs/narrative/2004/OIS_2004_1004453N.pdf,1004453N,12/29/2004,2400 Walnut Hill Lane,Shoot and Miss,Vehicle,Evans, Jerry W/M,Nguyen, Buu A/M,N/A,,,||
/ois/docs/narrative/2005/OIS_2005_141404P.pdf,141404P,2/23/2005,8600 Cherry Brook Street,Shoot and Miss,Handgun,Lopez, Luis L/M,White, Phillip NA/M,N/A,,,||
/ois/docs/narrative/2005/OIS_2005_227824P.pdf,227824P,3/25/2005,2800 N. St. Augustine Drive,Deceased,Handgun,Gibson, Neiman B/M,Roberts, John W/M,No Bill,,,||
/ois/docs/narrative/2005/OIS_2005_363184P.pdf,363184P,5/9/2005,4900 Eastside Avenue,Shoot and Miss,Vehicle,Garcia, David L/M,Woods, Jesse W/M Culp, Barrick B/M,N/A,,,||
/ois/docs/narrative/2005/OIS_2005_667539P.pdf,667539P,8/19/2005,500 Steeger Drive Duncanville, Texas,Deceased,Handgun,Blackstone, Douglas W/M,Griffin, Sam W/M,No Bill,,,||
/ois/docs/narrative/2005/OIS_2005_902413P.pdf,902413P,11/10/2005,2514 Tristian Court,Injured,Unarmed,Cruz, Jesus L/M,Hernandez, Anthony L/M,No Bill,,,||
/ois/docs/narrative/2005/OIS_2005_910563P.pdf,910563P,11/13/2005,2415 Madera Street,Shoot and Miss,Handgun,Lizcano, Juan L/M,Jackson, Brian W/M,N/A,,,||
/ois/docs/narrative/2005/OIS_2005_963516P.pdf,963516P,12/4/2005,400 Sunset Avenue,Shoot and Miss,Handgun,Keliam Rudd B/M,Rickerman, Mark W/M,N/A,,,||
/ois/docs/narrative/2005/OIS_2005_986476P.pdf,986476P,12/13/2005,7442 Chesterfield Drive,Injured,Handgun,Adams, Robert B/M,Ashley, Larry W/M,No Bill,,,||
/ois/docs/narrative/2005/OIS_2005_997316P.pdf,997316P,12/18/2005,2800 Indiana Street,Shoot and Miss,Handgun,Dang, Thuy A/M,Jefferson, Chad B/M,N/A,,,||
